dias,casos,activos
0,28,19
1,29,20
2,30,20
3,31,19
4,58,42
5,111,94
6,209,190
7,436,416
8,602,578
9,833,803
10,977,944
11,1261,1225
12,1766,1729
13,2337,2297
14,3150,3109
15,3736,3685
16,4335,4277
17,5186,5120
18,5621,5498
19,6284,6107
20,6593,6415
21,7041,6875
22,7313,7097
23,7478,7178
24,7513,7165
25,7755,7362
26,7869,7293
27,7979,7198
28,8086,7180
29,8162,7253
30,8236,7024
